ticker,cik,form,filingDate,accessionNumber,primaryDocument,doc_url
ABOS,0001576885,4,2026-01-21,0001628280-26-002956,xslF345X05/wk-form4_1769038162.xml,https://www.sec.gov/Archives/edgar/data/1576885/000162828026002956/xslF345X05/wk-form4_1769038162.xml
ABOS,0001576885,144,2026-01-21,0001964306-26-000052,xsl144X01/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/1576885/000196430626000052/xsl144X01/primary_doc.xml
ABOS,0001576885,144,2026-01-21,0001964306-26-000051,xsl144X01/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/1576885/000196430626000051/xsl144X01/primary_doc.xml
ABOS,0001576885,144,2026-01-21,0001964306-26-000050,xsl144X01/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/1576885/000196430626000050/xsl144X01/primary_doc.xml
ABOS,0001576885,144,2026-01-21,0001964306-26-000049,xsl144X01/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/1576885/000196430626000049/xsl144X01/primary_doc.xml
ABOS,0001576885,144,2026-01-21,0001964306-26-000048,xsl144X01/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/1576885/000196430626000048/xsl144X01/primary_doc.xml
ABUS,0001447028,8-K,2026-01-16,0001171843-26-000303,f8k_011626.htm,https://www.sec.gov/Archives/edgar/data/1447028/000117184326000303/f8k_011626.htm
ABVC,0001173313,8-K/A,2026-01-16,0001213900-26-005165,ea0272768-8ka1_abvc.htm,https://www.sec.gov/Archives/edgar/data/1173313/000121390026005165/ea0272768-8ka1_abvc.htm
ACET,0001720580,SCHEDULE 13G,2026-01-29,0000038777-26-000021,xslSCHEDULE_13G_X01/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/1720580/000003877726000021/xslSCHEDULE_13G_X01/primary_doc.xml
ACET,0001720580,4,2026-01-27,0001193125-26-024755,xslF345X05/ownership.xml,https://www.sec.gov/Archives/edgar/data/1720580/000119312526024755/xslF345X05/ownership.xml
ACET,0001720580,4,2026-01-27,0001193125-26-024753,xslF345X05/ownership.xml,https://www.sec.gov/Archives/edgar/data/1720580/000119312526024753/xslF345X05/ownership.xml
ACET,0001720580,4,2026-01-27,0001193125-26-024749,xslF345X05/ownership.xml,https://www.sec.gov/Archives/edgar/data/1720580/000119312526024749/xslF345X05/ownership.xml
ACET,0001720580,4,2026-01-27,0001193125-26-024746,xslF345X05/ownership.xml,https://www.sec.gov/Archives/edgar/data/1720580/000119312526024746/xslF345X05/ownership.xml
ACHV,0000949858,SCHEDULE 13G/A,2026-01-29,0000038777-26-000017,xslSCHEDULE_13G_X01/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/949858/000003877726000017/xslSCHEDULE_13G_X01/primary_doc.xml
ACHV,0000949858,S-3,2026-01-23,0001193125-26-021032,achv-20260123.htm,https://www.sec.gov/Archives/edgar/data/949858/000119312526021032/achv-20260123.htm
ACRS,0001557746,SCHEDULE 13G/A,2026-01-21,0002012383-26-000630,xslSCHEDULE_13G_X01/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/1557746/000201238326000630/xslSCHEDULE_13G_X01/primary_doc.xml
ACRV,0001781174,4,2026-01-21,0000905148-26-000281,xslF345X05/form4.xml,https://www.sec.gov/Archives/edgar/data/1781174/000090514826000281/xslF345X05/form4.xml
ACRV,0001781174,4,2026-01-16,0000905148-26-000226,xslF345X05/form4.xml,https://www.sec.gov/Archives/edgar/data/1781174/000090514826000226/xslF345X05/form4.xml
ACRV,0001781174,4,2026-01-16,0000905148-26-000225,xslF345X05/form4.xml,https://www.sec.gov/Archives/edgar/data/1781174/000090514826000225/xslF345X05/form4.xml
ADPT,0001478320,SCHEDULE 13G/A,2026-01-21,0002012383-26-000632,xslSCHEDULE_13G_X01/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/1478320/000201238326000632/xslSCHEDULE_13G_X01/primary_doc.xml
ADVB,0001941029,8-K,2026-01-27,0001213900-26-008254,ea0274255-8k_advanced.htm,https://www.sec.gov/Archives/edgar/data/1941029/000121390026008254/ea0274255-8k_advanced.htm
ADVB,0001941029,DEF 14C,2026-01-23,0001213900-26-007188,ea0272928-def14c_advanced.htm,https://www.sec.gov/Archives/edgar/data/1941029/000121390026007188/ea0272928-def14c_advanced.htm
ADVB,0001941029,8-K,2026-01-21,0001213900-26-006281,ea027358501-8k_advanced.htm,https://www.sec.gov/Archives/edgar/data/1941029/000121390026006281/ea027358501-8k_advanced.htm
AEON,0001837607,3,2026-01-29,0001213900-26-009803,xslF345X02/ownership.xml,https://www.sec.gov/Archives/edgar/data/1837607/000121390026009803/xslF345X02/ownership.xml
AEON,0001837607,SCHEDULE 13D,2026-01-29,0001213900-26-009802,xslSCHEDULE_13D_X01/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/1837607/000121390026009802/xslSCHEDULE_13D_X01/primary_doc.xml
AEON,0001837607,SCHEDULE 13D/A,2026-01-29,0001213900-26-009785,xslSCHEDULE_13D_X01/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/1837607/000121390026009785/xslSCHEDULE_13D_X01/primary_doc.xml
AEON,0001837607,8-K,2026-01-21,0001837607-26-000005,aeon-20260121x8k.htm,https://www.sec.gov/Archives/edgar/data/1837607/000183760726000005/aeon-20260121x8k.htm
AKBA,0001517022,SCHEDULE 13G/A,2026-01-21,0002012383-26-000635,xslSCHEDULE_13G_X01/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/1517022/000201238326000635/xslSCHEDULE_13G_X01/primary_doc.xml
AKTS,0002035832,SCHEDULE 13D,2026-01-20,0001231919-26-000070,xslSCHEDULE_13D_X01/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/2035832/000123191926000070/xslSCHEDULE_13D_X01/primary_doc.xml
AKTS,0002035832,SCHEDULE 13D,2026-01-20,0000935836-26-000046,xslSCHEDULE_13D_X01/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/2035832/000093583626000046/xslSCHEDULE_13D_X01/primary_doc.xml
ALLO,0001737287,4,2026-01-23,0001851044-26-000003,xslF345X05/wk-form4_1769202908.xml,https://www.sec.gov/Archives/edgar/data/1737287/000185104426000003/xslF345X05/wk-form4_1769202908.xml
ALLO,0001737287,144,2026-01-21,0001851044-26-000001,xsl144X01/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/1737287/000185104426000001/xsl144X01/primary_doc.xml
ALLR,0001860657,424B5,2026-01-29,0001213900-26-009158,ea0273806-424b5_allarity.htm,https://www.sec.gov/Archives/edgar/data/1860657/000121390026009158/ea0273806-424b5_allarity.htm
ALLR,0001860657,8-K,2026-01-29,0001213900-26-009157,ea0274173-8k_allarity.htm,https://www.sec.gov/Archives/edgar/data/1860657/000121390026009157/ea0274173-8k_allarity.htm
ALLR,0001860657,4,2026-01-16,0001213900-26-005146,xslF345X05/ownership.xml,https://www.sec.gov/Archives/edgar/data/1860657/000121390026005146/xslF345X05/ownership.xml
ALXO,0001810182,4,2026-01-28,0001193125-26-027290,xslF345X05/ownership.xml,https://www.sec.gov/Archives/edgar/data/1810182/000119312526027290/xslF345X05/ownership.xml
ALXO,0001810182,4,2026-01-28,0001193125-26-027288,xslF345X05/ownership.xml,https://www.sec.gov/Archives/edgar/data/1810182/000119312526027288/xslF345X05/ownership.xml
ALXO,0001810182,4,2026-01-28,0001193125-26-027287,xslF345X05/ownership.xml,https://www.sec.gov/Archives/edgar/data/1810182/000119312526027287/xslF345X05/ownership.xml
ALXO,0001810182,S-8,2026-01-21,0001193125-26-018159,alxo-20260121.htm,https://www.sec.gov/Archives/edgar/data/1810182/000119312526018159/alxo-20260121.htm
ALXO,0001810182,8-K,2026-01-21,0001193125-26-018094,alxo-20260121.htm,https://www.sec.gov/Archives/edgar/data/1810182/000119312526018094/alxo-20260121.htm
ALXO,0001810182,4,2026-01-21,0001193125-26-018039,xslF345X05/ownership.xml,https://www.sec.gov/Archives/edgar/data/1810182/000119312526018039/xslF345X05/ownership.xml
ALXO,0001810182,4,2026-01-21,0001193125-26-018037,xslF345X05/ownership.xml,https://www.sec.gov/Archives/edgar/data/1810182/000119312526018037/xslF345X05/ownership.xml
ALXO,0001810182,4,2026-01-21,0001193125-26-018028,xslF345X05/ownership.xml,https://www.sec.gov/Archives/edgar/data/1810182/000119312526018028/xslF345X05/ownership.xml
ALXO,0001810182,4,2026-01-21,0001193125-26-018023,xslF345X05/ownership.xml,https://www.sec.gov/Archives/edgar/data/1810182/000119312526018023/xslF345X05/ownership.xml
ALXO,0001810182,4,2026-01-21,0001193125-26-018022,xslF345X05/ownership.xml,https://www.sec.gov/Archives/edgar/data/1810182/000119312526018022/xslF345X05/ownership.xml
ALXO,0001810182,4,2026-01-21,0001193125-26-018021,xslF345X05/ownership.xml,https://www.sec.gov/Archives/edgar/data/1810182/000119312526018021/xslF345X05/ownership.xml
AMLX,0001658551,SCHEDULE 13G/A,2026-01-21,0002012383-26-000638,xslSCHEDULE_13G_X01/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/1658551/000201238326000638/xslSCHEDULE_13G_X01/primary_doc.xml
AMLX,0001658551,4,2026-01-20,0001193125-26-017057,xslF345X05/ownership.xml,https://www.sec.gov/Archives/edgar/data/1658551/000119312526017057/xslF345X05/ownership.xml
AMLX,0001658551,4,2026-01-20,0001193125-26-017056,xslF345X05/ownership.xml,https://www.sec.gov/Archives/edgar/data/1658551/000119312526017056/xslF345X05/ownership.xml
AMLX,0001658551,144,2026-01-16,0001950047-26-000500,xsl144X01/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/1658551/000195004726000500/xsl144X01/primary_doc.xml
AMLX,0001658551,144,2026-01-16,0001950047-26-000499,xsl144X01/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/1658551/000195004726000499/xsl144X01/primary_doc.xml
AMRX,0001723128,8-K,2026-01-28,0001628280-26-003842,amrx-20260123.htm,https://www.sec.gov/Archives/edgar/data/1723128/000162828026003842/amrx-20260123.htm
ANAB,0001370053,SCHEDULE 13G/A,2026-01-16,0001104659-26-004557,xslSCHEDULE_13G_X01/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/1370053/000110465926004557/xslSCHEDULE_13G_X01/primary_doc.xml
ANAB,0001370053,4,2026-01-16,0001631486-26-000002,xslF345X05/form4-01162026_010101.xml,https://www.sec.gov/Archives/edgar/data/1370053/000163148626000002/xslF345X05/form4-01162026_010101.xml
ANEB,0001815974,SC 13E3/A,2026-01-29,0001493152-26-004156,formsctoia.htm,https://www.sec.gov/Archives/edgar/data/1815974/000149315226004156/formsctoia.htm
ANEB,0001815974,8-K,2026-01-29,0001493152-26-004154,form8-k.htm,https://www.sec.gov/Archives/edgar/data/1815974/000149315226004154/form8-k.htm
ANEB,0001815974,SC 13E3/A,2026-01-27,0001493152-26-003720,formsctoia.htm,https://www.sec.gov/Archives/edgar/data/1815974/000149315226003720/formsctoia.htm
ANEB,0001815974,8-K,2026-01-27,0001493152-26-003718,form8-k.htm,https://www.sec.gov/Archives/edgar/data/1815974/000149315226003718/form8-k.htm
ANIK,0000898437,SCHEDULE 13D/A,2026-01-27,0000902664-26-000511,xslSCHEDULE_13D_X01/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/898437/000090266426000511/xslSCHEDULE_13D_X01/primary_doc.xml
ANIX,0000715446,4,2026-01-29,0001493152-26-004148,xslF345X05/ownership.xml,https://www.sec.gov/Archives/edgar/data/715446/000149315226004148/xslF345X05/ownership.xml
ANIX,0000715446,DEF 14A,2026-01-28,0001493152-26-004035,formdef14a.htm,https://www.sec.gov/Archives/edgar/data/715446/000149315226004035/formdef14a.htm
ANTX,0001880438,8-K,2026-01-29,0001193125-26-029540,d84725d8k.htm,https://www.sec.gov/Archives/edgar/data/1880438/000119312526029540/d84725d8k.htm
ANVS,0001477845,8-K,2026-01-28,0001104659-26-007423,tm264292d1_8k.htm,https://www.sec.gov/Archives/edgar/data/1477845/000110465926007423/tm264292d1_8k.htm
APGE,0001974640,4,2026-01-22,0001104659-26-005921,xslF345X05/tm263873-1_4seq1.xml,https://www.sec.gov/Archives/edgar/data/1974640/000110465926005921/xslF345X05/tm263873-1_4seq1.xml
APGE,0001974640,144,2026-01-22,0001104659-26-005918,xsl144X01/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/1974640/000110465926005918/xsl144X01/primary_doc.xml
APGE,0001974640,SCHEDULE 13D/A,2026-01-22,0001104659-26-005916,xslSCHEDULE_13D_X01/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/1974640/000110465926005916/xslSCHEDULE_13D_X01/primary_doc.xml
APGE,0001974640,4,2026-01-16,0001104659-26-004659,xslF345X05/tm263357-1_4seq1.xml,https://www.sec.gov/Archives/edgar/data/1974640/000110465926004659/xslF345X05/tm263357-1_4seq1.xml
APLS,0001492422,4,2026-01-23,0001492422-26-000061,xslF345X05/form4.xml,https://www.sec.gov/Archives/edgar/data/1492422/000149242226000061/xslF345X05/form4.xml
APLS,0001492422,4,2026-01-23,0001492422-26-000060,xslF345X05/form4.xml,https://www.sec.gov/Archives/edgar/data/1492422/000149242226000060/xslF345X05/form4.xml
APLS,0001492422,4,2026-01-23,0001492422-26-000059,xslF345X05/form4.xml,https://www.sec.gov/Archives/edgar/data/1492422/000149242226000059/xslF345X05/form4.xml
APLS,0001492422,4,2026-01-23,0001492422-26-000058,xslF345X05/form4.xml,https://www.sec.gov/Archives/edgar/data/1492422/000149242226000058/xslF345X05/form4.xml
APLS,0001492422,4,2026-01-23,0001492422-26-000057,xslF345X05/form4.xml,https://www.sec.gov/Archives/edgar/data/1492422/000149242226000057/xslF345X05/form4.xml
APLS,0001492422,4,2026-01-23,0001492422-26-000056,xslF345X05/form4.xml,https://www.sec.gov/Archives/edgar/data/1492422/000149242226000056/xslF345X05/form4.xml
APLS,0001492422,4,2026-01-23,0001492422-26-000055,xslF345X05/form4.xml,https://www.sec.gov/Archives/edgar/data/1492422/000149242226000055/xslF345X05/form4.xml
APLS,0001492422,4,2026-01-23,0001492422-26-000054,xslF345X05/form4.xml,https://www.sec.gov/Archives/edgar/data/1492422/000149242226000054/xslF345X05/form4.xml
APLS,0001492422,144,2026-01-22,0001959173-26-000419,xsl144X01/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/1492422/000195917326000419/xsl144X01/primary_doc.xml
APLS,0001492422,144,2026-01-22,0001959173-26-000418,xsl144X01/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/1492422/000195917326000418/xsl144X01/primary_doc.xml
APLS,0001492422,144,2026-01-22,0001959173-26-000417,xsl144X01/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/1492422/000195917326000417/xsl144X01/primary_doc.xml
APLS,0001492422,144,2026-01-22,0001959173-26-000416,xsl144X01/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/1492422/000195917326000416/xsl144X01/primary_doc.xml
APLS,0001492422,144,2026-01-22,0001959173-26-000415,xsl144X01/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/1492422/000195917326000415/xsl144X01/primary_doc.xml
APLS,0001492422,144,2026-01-22,0001959173-26-000414,xsl144X01/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/1492422/000195917326000414/xsl144X01/primary_doc.xml
APLS,0001492422,144,2026-01-22,0001959173-26-000411,xsl144X01/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/1492422/000195917326000411/xsl144X01/primary_doc.xml
APLS,0001492422,144,2026-01-22,0001959173-26-000408,xsl144X01/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/1492422/000195917326000408/xsl144X01/primary_doc.xml
APLS,0001492422,4,2026-01-21,0001492422-26-000045,xslF345X05/form4.xml,https://www.sec.gov/Archives/edgar/data/1492422/000149242226000045/xslF345X05/form4.xml
APLS,0001492422,4,2026-01-21,0001492422-26-000044,xslF345X05/form4.xml,https://www.sec.gov/Archives/edgar/data/1492422/000149242226000044/xslF345X05/form4.xml
APLS,0001492422,4,2026-01-21,0001492422-26-000043,xslF345X05/form4.xml,https://www.sec.gov/Archives/edgar/data/1492422/000149242226000043/xslF345X05/form4.xml
APLS,0001492422,4,2026-01-21,0001492422-26-000042,xslF345X05/form4.xml,https://www.sec.gov/Archives/edgar/data/1492422/000149242226000042/xslF345X05/form4.xml
APLS,0001492422,4,2026-01-21,0001492422-26-000041,xslF345X05/form4.xml,https://www.sec.gov/Archives/edgar/data/1492422/000149242226000041/xslF345X05/form4.xml
APLS,0001492422,4,2026-01-21,0001492422-26-000040,xslF345X05/form4.xml,https://www.sec.gov/Archives/edgar/data/1492422/000149242226000040/xslF345X05/form4.xml
APLS,0001492422,4,2026-01-21,0001492422-26-000039,xslF345X05/form4.xml,https://www.sec.gov/Archives/edgar/data/1492422/000149242226000039/xslF345X05/form4.xml
APLS,0001492422,4,2026-01-21,0001492422-26-000038,xslF345X05/form4.xml,https://www.sec.gov/Archives/edgar/data/1492422/000149242226000038/xslF345X05/form4.xml
APLS,0001492422,144,2026-01-20,0001959173-26-000370,xsl144X01/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/1492422/000195917326000370/xsl144X01/primary_doc.xml
APLS,0001492422,144,2026-01-20,0001959173-26-000369,xsl144X01/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/1492422/000195917326000369/xsl144X01/primary_doc.xml
APLS,0001492422,144,2026-01-20,0001959173-26-000368,xsl144X01/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/1492422/000195917326000368/xsl144X01/primary_doc.xml
APLS,0001492422,144,2026-01-20,0001959173-26-000366,xsl144X01/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/1492422/000195917326000366/xsl144X01/primary_doc.xml
APLS,0001492422,144,2026-01-20,0001959173-26-000365,xsl144X01/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/1492422/000195917326000365/xsl144X01/primary_doc.xml
APLS,0001492422,144,2026-01-20,0001959173-26-000364,xsl144X01/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/1492422/000195917326000364/xsl144X01/primary_doc.xml
APLS,0001492422,144,2026-01-20,0001959173-26-000362,xsl144X01/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/1492422/000195917326000362/xsl144X01/primary_doc.xml
APLS,0001492422,144,2026-01-20,0001959173-26-000361,xsl144X01/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/1492422/000195917326000361/xsl144X01/primary_doc.xml
APLT,0001697532,SC 14D9/A,2026-01-29,0001193125-26-028278,d47308dsc14d9a.htm,https://www.sec.gov/Archives/edgar/data/1697532/000119312526028278/d47308dsc14d9a.htm
APLT,0001697532,SC TO-T/A,2026-01-29,0001193125-26-028272,d805076dsctota.htm,https://www.sec.gov/Archives/edgar/data/1697532/000119312526028272/d805076dsctota.htm
APLT,0001697532,SC 14D9/A,2026-01-28,0001193125-26-026180,d38093dsc14d9a.htm,https://www.sec.gov/Archives/edgar/data/1697532/000119312526026180/d38093dsc14d9a.htm
APLT,0001697532,SC TO-T/A,2026-01-28,0001193125-26-026154,d805076dsctota.htm,https://www.sec.gov/Archives/edgar/data/1697532/000119312526026154/d805076dsctota.htm
APLT,0001697532,SC TO-T/A,2026-01-21,0001193125-26-017254,d69306dsctota.htm,https://www.sec.gov/Archives/edgar/data/1697532/000119312526017254/d69306dsctota.htm
APRE,0001781983,8-K,2026-01-29,0001104659-26-007988,tm264417d1_8k.htm,https://www.sec.gov/Archives/edgar/data/1781983/000110465926007988/tm264417d1_8k.htm
APRE,0001781983,SCHEDULE 13G/A,2026-01-28,0001493152-26-003971,xslSCHEDULE_13G_X01/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/1781983/000149315226003971/xslSCHEDULE_13G_X01/primary_doc.xml
APRE,0001781983,8-K,2026-01-23,0001104659-26-006267,tm263963d1_8k.htm,https://www.sec.gov/Archives/edgar/data/1781983/000110465926006267/tm263963d1_8k.htm
