ticker,cik,form,filingDate,accessionNumber,doc_url,fetch_ok,has_document_blocks,doc_count,selected_doc_types,notes
ARTL,0001621221,8-K,2026-01-16,0001640334-26-000109,https://www.sec.gov/Archives/edgar/data/1621221/0001640334-26-000109.txt,1,1,13,8-K,hits=0
ATOS,0001488039,8-K,2026-01-26,0001193125-26-021727,https://www.sec.gov/Archives/edgar/data/1488039/0001193125-26-021727.txt,1,1,10,8-K,hits=0
ATXS,0001454789,8-K,2026-01-23,0001104659-26-006228,https://www.sec.gov/Archives/edgar/data/1454789/0001104659-26-006228.txt,1,1,13,8-K,hits=0
ATXS,0001454789,8-K,2026-01-21,0001104659-26-005368,https://www.sec.gov/Archives/edgar/data/1454789/0001104659-26-005368.txt,1,1,12,"EX-99.1,8-K",hits=0
AVDL,0001012477,8-K,2026-01-20,0001104659-26-004698,https://www.sec.gov/Archives/edgar/data/1012477/0001104659-26-004698.txt,1,1,11,8-K,hits=0
AYTU,0001385818,8-K,2026-01-20,0001437749-26-001543,https://www.sec.gov/Archives/edgar/data/1385818/0001437749-26-001543.txt,1,1,74,"EX-99.1,EX-99.2,8-K",hits=0
BBIO,0001743881,8-K,2026-01-21,0001140361-26-001843,https://www.sec.gov/Archives/edgar/data/1743881/0001140361-26-001843.txt,1,1,21,"EX-99.1,EX-99.2,8-K",hits=0
BCRX,0000882796,8-K,2026-01-23,0001140361-26-002200,https://www.sec.gov/Archives/edgar/data/882796/0001140361-26-002200.txt,1,1,16,"EX-99.1,EX-99.2,EX-99.3,EX-99.4,8-K",hits=1
BIOA,0001709941,8-K,2026-01-22,0001193125-26-019536,https://www.sec.gov/Archives/edgar/data/1709941/0001193125-26-019536.txt,1,1,14,"EX-99.1,8-K",hits=1
BIOA,0001709941,8-K,2026-01-20,0001193125-26-016046,https://www.sec.gov/Archives/edgar/data/1709941/0001193125-26-016046.txt,1,1,11,"EX-99.1,8-K",hits=2
BMRN,0001048477,8-K,2026-01-29,0001193125-26-029401,https://www.sec.gov/Archives/edgar/data/1048477/0001193125-26-029401.txt,1,1,13,"EX-99.1,8-K",hits=0
BMRN,0001048477,8-K,2026-01-26,0001193125-26-021718,https://www.sec.gov/Archives/edgar/data/1048477/0001193125-26-021718.txt,1,1,15,"EX-99.1,EX-99.2,EX-99.3,8-K",hits=0
BTAI,0001720893,8-K,2026-01-20,0001104659-26-004787,https://www.sec.gov/Archives/edgar/data/1720893/0001104659-26-004787.txt,1,1,11,8-K,hits=0
BTMD,0001819253,8-K,2026-01-26,0001193125-26-022818,https://www.sec.gov/Archives/edgar/data/1819253/0001193125-26-022818.txt,1,1,11,8-K,hits=0
CGTX,0001455365,8-K,2026-01-27,0001104659-26-006813,https://www.sec.gov/Archives/edgar/data/1455365/0001104659-26-006813.txt,1,1,13,"EX-99.1,8-K",hits=0
CHRS,0001512762,8-K,2026-01-23,0001104659-26-006307,https://www.sec.gov/Archives/edgar/data/1512762/0001104659-26-006307.txt,1,1,14,8-K,hits=0
CLDI,0001855485,8-K,2026-01-29,0001493152-26-004089,https://www.sec.gov/Archives/edgar/data/1855485/0001493152-26-004089.txt,1,1,13,"EX-99.1,8-K",hits=0
COEP,0001759186,8-K,2026-01-16,0001683168-26-000370,https://www.sec.gov/Archives/edgar/data/1759186/0001683168-26-000370.txt,1,1,12,8-K,hits=0
CORT,0001088856,8-K,2026-01-22,0001193125-26-018704,https://www.sec.gov/Archives/edgar/data/1088856/0001193125-26-018704.txt,1,1,13,"EX-99.1,8-K",hits=9
COYA,0001835022,8-K,2026-01-20,0001193125-26-016017,https://www.sec.gov/Archives/edgar/data/1835022/0001193125-26-016017.txt,1,1,11,8-K,hits=1
CRDF,0001213037,8-K,2026-01-27,0001193125-26-024375,https://www.sec.gov/Archives/edgar/data/1213037/0001193125-26-024375.txt,1,1,13,"EX-99.1,EX-99.2,8-K",hits=3
CRNX,0001658247,8-K,2026-01-26,0001658247-26-000003,https://www.sec.gov/Archives/edgar/data/1658247/0001658247-26-000003.txt,1,1,11,8-K,hits=0
CRVS,0001626971,8-K,2026-01-23,0001104659-26-005968,https://www.sec.gov/Archives/edgar/data/1626971/0001104659-26-005968.txt,1,1,15,8-K,hits=0
CRVS,0001626971,8-K,2026-01-20,0001104659-26-005035,https://www.sec.gov/Archives/edgar/data/1626971/0001104659-26-005035.txt,1,1,11,8-K,hits=0
CRVS,0001626971,8-K,2026-01-20,0001104659-26-004795,https://www.sec.gov/Archives/edgar/data/1626971/0001104659-26-004795.txt,1,1,24,"EX-99.1,8-K",hits=0
CTNM,0001855175,8-K,2026-01-26,0001437749-26-002072,https://www.sec.gov/Archives/edgar/data/1855175/0001437749-26-002072.txt,1,1,12,8-K,hits=0
DARE,0001401914,8-K,2026-01-29,0001493152-26-004245,https://www.sec.gov/Archives/edgar/data/1401914/0001493152-26-004245.txt,1,1,16,8-K,hits=0
DFTX,0001813814,8-K,2026-01-29,0001193125-26-028186,https://www.sec.gov/Archives/edgar/data/1813814/0001193125-26-028186.txt,1,1,9,8-K,hits=0
DRMA,0001853816,8-K,2026-01-27,0001493152-26-003715,https://www.sec.gov/Archives/edgar/data/1853816/0001493152-26-003715.txt,1,1,15,8-K,hits=0
DWTX,0001818844,8-K,2026-01-20,0001104659-26-004838,https://www.sec.gov/Archives/edgar/data/1818844/0001104659-26-004838.txt,1,1,13,"EX-99.1,8-K",hits=0
EKSO,0001549084,8-K,2026-01-22,0001437749-26-001774,https://www.sec.gov/Archives/edgar/data/1549084/0001437749-26-001774.txt,1,1,16,"EX-99.1,8-K",hits=1
ENVB,0000890821,8-K,2026-01-28,0001493152-26-004055,https://www.sec.gov/Archives/edgar/data/890821/0001493152-26-004055.txt,1,1,19,"EX-99.1,EX-99.2,8-K",hits=0
FDMT,0001650648,8-K,2026-01-26,0001193125-26-022559,https://www.sec.gov/Archives/edgar/data/1650648/0001193125-26-022559.txt,1,1,10,8-K,hits=0
FOLD,0001178879,8-K,2026-01-26,0001140361-26-002299,https://www.sec.gov/Archives/edgar/data/1178879/0001140361-26-002299.txt,1,1,11,8-K,hits=0
GALT,0001133416,8-K,2026-01-21,0001140361-26-001866,https://www.sec.gov/Archives/edgar/data/1133416/0001140361-26-001866.txt,1,1,11,8-K,hits=0
GRI,0001824293,8-K,2026-01-28,0001824293-26-000017,https://www.sec.gov/Archives/edgar/data/1824293/0001824293-26-000017.txt,1,1,15,"EX-99.1,8-K",hits=3
GRI,0001824293,8-K,2026-01-21,0001824293-26-000014,https://www.sec.gov/Archives/edgar/data/1824293/0001824293-26-000014.txt,1,1,17,"EX-99.1,8-K",hits=0
GRI,0001824293,8-K,2026-01-16,0001824293-26-000011,https://www.sec.gov/Archives/edgar/data/1824293/0001824293-26-000011.txt,1,1,13,8-K,hits=0
HALO,0001159036,8-K,2026-01-28,0001159036-26-000011,https://www.sec.gov/Archives/edgar/data/1159036/0001159036-26-000011.txt,1,1,14,"EX-99.1,8-K",hits=0
HBIO,0001123494,8-K,2026-01-29,0001171843-26-000516,https://www.sec.gov/Archives/edgar/data/1123494/0001171843-26-000516.txt,1,1,14,"EX-99.1,8-K",hits=0
HBIO,0001123494,8-K,2026-01-20,0001171843-26-000343,https://www.sec.gov/Archives/edgar/data/1123494/0001171843-26-000343.txt,1,1,13,8-K,hits=0
HOTH,0001711786,8-K,2026-01-16,0001213900-26-004899,https://www.sec.gov/Archives/edgar/data/1711786/0001213900-26-004899.txt,1,1,30,"EX-99.1,8-K",hits=0
IBRX,0001326110,8-K,2026-01-26,0001326110-26-000014,https://www.sec.gov/Archives/edgar/data/1326110/0001326110-26-000014.txt,1,1,12,8-K,hits=0
INBS,0001725430,8-K,2026-01-28,0001493152-26-004068,https://www.sec.gov/Archives/edgar/data/1725430/0001493152-26-004068.txt,1,1,12,"EX-99.1,8-K",hits=0
INDP,0001857044,8-K,2026-01-20,0001493152-26-002850,https://www.sec.gov/Archives/edgar/data/1857044/0001493152-26-002850.txt,1,1,13,8-K,hits=0
INMB,0001711754,8-K,2026-01-27,0001213900-26-008204,https://www.sec.gov/Archives/edgar/data/1711754/0001213900-26-008204.txt,1,1,12,"EX-99.1,8-K",hits=4
INO,0001055726,8-K,2026-01-27,0001193125-26-024431,https://www.sec.gov/Archives/edgar/data/1055726/0001193125-26-024431.txt,1,1,12,8-K,hits=0
IOBT,0001865494,8-K,2026-01-21,0001193125-26-017164,https://www.sec.gov/Archives/edgar/data/1865494/0001193125-26-017164.txt,1,1,13,"EX-99.1,8-K",hits=0
IPSC,0001850119,8-K,2026-01-23,0001104659-26-006236,https://www.sec.gov/Archives/edgar/data/1850119/0001104659-26-006236.txt,1,1,11,8-K,hits=0
JANX,0001817713,8-K,2026-01-22,0001193125-26-019520,https://www.sec.gov/Archives/edgar/data/1817713/0001193125-26-019520.txt,1,1,11,"EX-99.1,8-K",hits=0
KALA,0001479419,8-K,2026-01-23,0001829126-26-000502,https://www.sec.gov/Archives/edgar/data/1479419/0001829126-26-000502.txt,1,1,11,8-K,hits=1
KRRO,0001703647,8-K,2026-01-27,0001193125-26-023436,https://www.sec.gov/Archives/edgar/data/1703647/0001193125-26-023436.txt,1,1,43,"EX-99.1,EX-99.1,8-K",hits=0
KTTA,0001841330,8-K,2026-01-28,0001213900-26-008828,https://www.sec.gov/Archives/edgar/data/1841330/0001213900-26-008828.txt,1,1,14,8-K,hits=0
KURA,0001422143,8-K,2026-01-29,0001193125-26-029705,https://www.sec.gov/Archives/edgar/data/1422143/0001193125-26-029705.txt,1,1,12,"EX-99.1,8-K",hits=0
LEXX,0001348362,8-K,2026-01-28,0001640334-26-000162,https://www.sec.gov/Archives/edgar/data/1348362/0001640334-26-000162.txt,1,1,13,8-K,hits=0
LFCR,0001005286,8-K,2026-01-16,0001628280-26-002400,https://www.sec.gov/Archives/edgar/data/1005286/0001628280-26-002400.txt,1,1,12,8-K,hits=0
LIMN,0001971387,8-K,2026-01-26,0001104659-26-006619,https://www.sec.gov/Archives/edgar/data/1971387/0001104659-26-006619.txt,1,1,12,8-K,hits=0
LRMR,0001374690,8-K,2026-01-22,0001193125-26-018664,https://www.sec.gov/Archives/edgar/data/1374690/0001193125-26-018664.txt,1,1,13,8-K,hits=0
LSTA,0000320017,8-K,2026-01-27,0000320017-26-000008,https://www.sec.gov/Archives/edgar/data/320017/0000320017-26-000008.txt,1,1,11,8-K,hits=0
LSTA,0000320017,8-K,2026-01-21,0000320017-26-000006,https://www.sec.gov/Archives/edgar/data/320017/0000320017-26-000006.txt,1,1,22,"EX-99.1,8-K",hits=0
LTRN,0001763950,8-K,2026-01-23,0001493152-26-003314,https://www.sec.gov/Archives/edgar/data/1763950/0001493152-26-003314.txt,1,1,46,"EX-99.1,8-K",hits=0
LXEO,0001907108,8-K,2026-01-27,0001193125-26-023339,https://www.sec.gov/Archives/edgar/data/1907108/0001193125-26-023339.txt,1,1,9,8-K,hits=0
LXRX,0001062822,8-K,2026-01-29,0001193125-26-029514,https://www.sec.gov/Archives/edgar/data/1062822/0001193125-26-029514.txt,1,1,13,"EX-99.1,8-K",hits=1
MAIA,0001878313,8-K,2026-01-20,0001493152-26-002883,https://www.sec.gov/Archives/edgar/data/1878313/0001493152-26-002883.txt,1,1,13,"EX-99.1,8-K",hits=0
MBRX,0001659617,8-K,2026-01-20,0001437749-26-001484,https://www.sec.gov/Archives/edgar/data/1659617/0001437749-26-001484.txt,1,1,56,"EX-99.1,8-K",hits=0
MBX,0001776111,8-K,2026-01-22,0001193125-26-018700,https://www.sec.gov/Archives/edgar/data/1776111/0001193125-26-018700.txt,1,1,11,"EX-99.1,8-K",hits=0
MIRM,0001759425,8-K,2026-01-26,0001193125-26-022582,https://www.sec.gov/Archives/edgar/data/1759425/0001193125-26-022582.txt,1,1,13,"EX-99.1,8-K",hits=6
MIST,0001408443,8-K,2026-01-26,0001104659-26-006483,https://www.sec.gov/Archives/edgar/data/1408443/0001104659-26-006483.txt,1,1,14,"EX-99.1,8-K",hits=0
MTNB,0001582554,8-K,2026-01-23,0001493152-26-003445,https://www.sec.gov/Archives/edgar/data/1582554/0001493152-26-003445.txt,1,1,11,8-K,hits=0
NBY,0001389545,8-K,2026-01-28,0001437749-26-002309,https://www.sec.gov/Archives/edgar/data/1389545/0001437749-26-002309.txt,1,1,16,8-K,hits=0
NBY,0001389545,8-K,2026-01-20,0001437749-26-001490,https://www.sec.gov/Archives/edgar/data/1389545/0001437749-26-001490.txt,1,1,15,8-K,hits=0
NBY,0001389545,8-K,2026-01-16,0001437749-26-001459,https://www.sec.gov/Archives/edgar/data/1389545/0001437749-26-001459.txt,1,1,16,"EX-99.1,8-K",hits=4
NKTR,0000906709,8-K,2026-01-27,0001213900-26-008210,https://www.sec.gov/Archives/edgar/data/906709/0001213900-26-008210.txt,1,1,11,8-K,hits=0
NRIX,0001549595,8-K,2026-01-28,0001549595-26-000013,https://www.sec.gov/Archives/edgar/data/1549595/0001549595-26-000013.txt,1,1,12,"EX-99.1,8-K",hits=0
NRXP,0001719406,8-K,2026-01-16,0001437749-26-001455,https://www.sec.gov/Archives/edgar/data/1719406/0001437749-26-001455.txt,1,1,13,"EX-99.1,8-K",hits=0
NTLA,0001652130,8-K,2026-01-27,0001193125-26-023387,https://www.sec.gov/Archives/edgar/data/1652130/0001193125-26-023387.txt,1,1,13,"EX-99.1,8-K",hits=11
OCUL,0001393434,8-K,2026-01-23,0001104659-26-006015,https://www.sec.gov/Archives/edgar/data/1393434/0001104659-26-006015.txt,1,1,11,8-K,hits=0
PCRX,0001396814,8-K,2026-01-28,0001628280-26-003717,https://www.sec.gov/Archives/edgar/data/1396814/0001628280-26-003717.txt,1,1,13,"EX-99.1,8-K",hits=0
PDSB,0001472091,8-K,2026-01-28,0001140361-26-002608,https://www.sec.gov/Archives/edgar/data/1472091/0001140361-26-002608.txt,1,1,13,"EX-99.1,8-K",hits=0
PDSB,0001472091,8-K,2026-01-22,0001140361-26-001958,https://www.sec.gov/Archives/edgar/data/1472091/0001140361-26-001958.txt,1,1,13,"EX-99.1,8-K",hits=2
PHIO,0001533040,8-K,2026-01-20,0001437749-26-001500,https://www.sec.gov/Archives/edgar/data/1533040/0001437749-26-001500.txt,1,1,14,"EX-99.1,8-K",hits=0
PSTV,0001095981,8-K,2026-01-22,0001193125-26-018675,https://www.sec.gov/Archives/edgar/data/1095981/0001193125-26-018675.txt,1,1,48,"EX-99.1,8-K",hits=0
PSTV,0001095981,8-K,2026-01-16,0001193125-26-015346,https://www.sec.gov/Archives/edgar/data/1095981/0001193125-26-015346.txt,1,1,14,"EX-99.1,8-K",hits=0
PVLA,0001583648,8-K,2026-01-29,0001193125-26-029341,https://www.sec.gov/Archives/edgar/data/1583648/0001193125-26-029341.txt,1,1,66,"EX-99.1,8-K",hits=10
QNCX,0001662774,8-K,2026-01-29,0001193125-26-029524,https://www.sec.gov/Archives/edgar/data/1662774/0001193125-26-029524.txt,1,1,13,"EX-99.1,8-K",hits=4
RAPT,0001673772,8-K,2026-01-20,0001193125-26-015882,https://www.sec.gov/Archives/edgar/data/1673772/0001193125-26-015882.txt,1,1,15,"EX-99.1,8-K",hits=0
REVB,0001810560,8-K,2026-01-29,0001193125-26-027742,https://www.sec.gov/Archives/edgar/data/1810560/0001193125-26-027742.txt,1,1,11,8-K,hits=0
REVB,0001810560,8-K,2026-01-22,0001193125-26-018332,https://www.sec.gov/Archives/edgar/data/1810560/0001193125-26-018332.txt,1,1,40,"EX-99.1,EX-99.2,8-K",hits=1
RGNX,0001590877,8-K,2026-01-28,0001193125-26-026139,https://www.sec.gov/Archives/edgar/data/1590877/0001193125-26-026139.txt,1,1,11,"EX-99.1,8-K",hits=4
RLYB,0001739410,8-K,2026-01-29,0001739410-26-000010,https://www.sec.gov/Archives/edgar/data/1739410/0001739410-26-000010.txt,1,1,12,8-K,hits=0
RNTX,0001420565,8-K,2026-01-16,0001193125-26-015524,https://www.sec.gov/Archives/edgar/data/1420565/0001193125-26-015524.txt,1,1,13,8-K,hits=0
RPTX,0001808158,8-K,2026-01-28,0001193125-26-027394,https://www.sec.gov/Archives/edgar/data/1808158/0001193125-26-027394.txt,1,1,13,"EX-99.1,8-K",hits=0
RPTX,0001808158,8-K,2026-01-16,0001193125-26-015507,https://www.sec.gov/Archives/edgar/data/1808158/0001193125-26-015507.txt,1,1,13,"EX-99.1,8-K",hits=0
RVPH,0001742927,8-K,2026-01-23,0001437749-26-001913,https://www.sec.gov/Archives/edgar/data/1742927/0001437749-26-001913.txt,1,1,12,8-K,hits=0
SER,0001708599,8-K,2026-01-28,0001708599-26-000005,https://www.sec.gov/Archives/edgar/data/1708599/0001708599-26-000005.txt,1,1,12,"EX-99.1,8-K",hits=1
SLNO,0001484565,8-K,2026-01-23,0001193125-26-021229,https://www.sec.gov/Archives/edgar/data/1484565/0001193125-26-021229.txt,1,1,12,8-K,hits=0
SMMT,0001599298,8-K,2026-01-29,0001599298-26-000006,https://www.sec.gov/Archives/edgar/data/1599298/0001599298-26-000006.txt,1,1,17,"EX-99.1,8-K",hits=14
SNOA,0001367083,8-K,2026-01-28,0001683168-26-000589,https://www.sec.gov/Archives/edgar/data/1367083/0001683168-26-000589.txt,1,1,13,8-K,hits=0
STOK,0001623526,8-K,2026-01-26,0001193125-26-022569,https://www.sec.gov/Archives/edgar/data/1623526/0001193125-26-022569.txt,1,1,11,8-K,hits=0
SUPN,0001356576,8-K,2026-01-28,0001628280-26-003907,https://www.sec.gov/Archives/edgar/data/1356576/0001628280-26-003907.txt,1,1,14,8-K,hits=0
SXTP,0001946563,8-K,2026-01-23,0001213900-26-007330,https://www.sec.gov/Archives/edgar/data/1946563/0001213900-26-007330.txt,1,1,12,8-K,hits=0
SXTP,0001946563,8-K,2026-01-21,0001213900-26-006179,https://www.sec.gov/Archives/edgar/data/1946563/0001213900-26-006179.txt,1,1,19,"EX-99.1,8-K",hits=0
TERN,0001831363,8-K,2026-01-22,0001193125-26-019426,https://www.sec.gov/Archives/edgar/data/1831363/0001193125-26-019426.txt,1,1,11,8-K,hits=0
TPST,0001544227,8-K,2026-01-28,0001193125-26-027203,https://www.sec.gov/Archives/edgar/data/1544227/0001193125-26-027203.txt,1,1,12,8-K,hits=0
TRAW,0001130598,8-K,2026-01-26,0001104659-26-006460,https://www.sec.gov/Archives/edgar/data/1130598/0001104659-26-006460.txt,1,1,13,"EX-99.1,8-K",hits=0
TVRD,0001346830,8-K,2026-01-16,0001104659-26-004273,https://www.sec.gov/Archives/edgar/data/1346830/0001104659-26-004273.txt,1,1,48,"EX-99.1,8-K",hits=6
TXMD,0000025743,8-K,2026-01-21,0001213900-26-005779,https://www.sec.gov/Archives/edgar/data/25743/0001213900-26-005779.txt,1,1,12,8-K,hits=0
VTYX,0001851194,8-K,2026-01-22,0001193125-26-019453,https://www.sec.gov/Archives/edgar/data/1851194/0001193125-26-019453.txt,1,1,12,8-K,hits=0
VVOS,0001716166,8-K,2026-01-20,0001493152-26-002844,https://www.sec.gov/Archives/edgar/data/1716166/0001493152-26-002844.txt,1,1,15,8-K,hits=0
VVOS,0001716166,8-K,2026-01-16,0001493152-26-002557,https://www.sec.gov/Archives/edgar/data/1716166/0001493152-26-002557.txt,1,1,12,8-K,hits=0
ZURA,0001855644,8-K,2026-01-26,0001104659-26-006326,https://www.sec.gov/Archives/edgar/data/1855644/0001104659-26-006326.txt,1,1,16,"EX-99.1,8-K",hits=0
